 frase,clase
 nuboso madrugada probables precipitaciones débiles litoral norte descartan resto tendiendo cielo despejado mañana,nubes-precipitacion
 Temperaturas mínimas ascenso máximas descenso interior,temperatura
 Viento noroeste moderado,viento
 nuboso intervalos nubes altas,nubes
 Temperaturas ascenso,temperatura
 Viento componente oeste flojo tendiendo variable tarde,viento
 intervalos nubes medias altas,nubes
 descarta precipitación débil,precipitacion
 Temperaturas cambios,temperatura
 componente oeste general moderado,viento
 mañana interior cielo nuboso descartar precipitación débil resto intervalos nubosos,nubes-precipitacion
 Tendiendo nuboso despejado tarde,nubes
 Temperaturas ascenso,temperatura
 oeste flojo moderado,viento
 nuboso intervalos nubes altas,nubes
 Temperaturas cambios importantes probables heladas débiles puntos interior,temperatura
 Viento variable flojo,viento
 cielo nuboso apertura claros partir tarde,nubes
 descartan precipitaciones débiles ocasionales interior,precipitacion
 Temperaturas mínimas cambios máximas ascenso,temperatura
 Viento oeste suroeste flojo intervalos moderado,viento
 nuboso cubierto,nubes
 esperan precipitaciones general débiles partir mañana afectarán mayor parte territorio,precipitacion
 cota nieve bajará tarde 1000 1200 m. mínimas cambios máximas descenso,nieve
 Viento oeste suroeste flojo intervalos moderado aumentando tarde oeste noroeste moderado intervalos fuerte frecuentes áreas montaña,viento
 nuboso despejado,nubes
 Temperaturas mínimas descenso cambios máximas ascenso cambios,temperatura
 helada débil interior,temperatura
 Viento oeste suroeste flojo intervalos moderado litoral,viento
 nuboso despejado intervalos nubes altas,nubes
 Temperaturas cambios ligero descenso,temperatura
 Viento variable flojo predominio componente oeste,viento
 intervalos nubes bajas descartar precipitación débil dispersa,nubes-precipitacion
 bancos niebla matinales,humedad
 Temperaturas cambios,temperatura
 Viento variable flojo,viento
 nuboso despejado,nubes
 Temperaturas mínimas cambios importantes máximas descensos locales interior,temperatura
 variable flojo,viento
 nubes altas despejar final,nubes
 cambios,otros
 Viento variable flojo predominio componente oeste,viento
 nuboso principio tendiendo mediodía nuboso intervalos nubes altas,nubes
 Temperaturas mínimas ascenso máximas ascenso litoral cambios interior,temperatura
 componente oeste flojo moderado,viento
 nubes altas,nubes
 Temperaturas ascenso,temperatura
 Viento componente oeste flojo,viento
 nubes altas abundantes tarde,nubes
 Temperaturas descenso máximas,temperatura
 Viento variable flojo,viento
 cubierto precipitaciones ocasionales primera mitad día disminuyendo nubosidad tarde nuboso,nubes-precipitacion
 Temperaturas mínimas cambios importantes máximas ascenso litorales,temperatura
 Viento variable flojo tendiendo largo mañana componente oeste moderado racha fuerte interior,viento
 nuboso intervalos nubes medias altas,nubes
 bancos niebla matinales,humedad
 Temperaturas cambios,temperatura
 heladas débiles interior,temperatura
 Viento variable flojo,viento
 nuboso intervalo nubes altas,nubes
 Temperaturas ascenso máximas interior,temperatura
 Viento oeste flojo,viento
 nubes altas,temperatura
 Temperaturas mínimas cambios máximas ascenso,viento
 Viento componente oeste flojo moderado,precipitacion
 primeras horas cielo nuboso descartar precipitaciones débiles,nubes-precipitacion
 partir mañana tenderá general nuboso despejado,nubes
 Temperaturas mínimas ascenso máximas descenso,temperatura
 Viento oeste noroeste moderado intervalos fuerte rachas fuertes interior,viento
 nuboso cubierto,nubes
 litoral esperan precipitaciones general débiles moderadas extremo sur,precipitacion
 bancos niebla matinales interior,humedad
 Temperaturas cambios importantes,temperatura
 Viento norte noreste flojo moderado,viento
 cielo despejado,nubes
 Temperaturas cambios ligero descenso,temperatura
 Viento componente oeste flojo intervalos moderado,viento
 nubes altas,nubes
 Temperaturas mínimas cambios máximas ascenso,temperatura
 Viento variable flojo,viento
 nubes medias altas madrugada tendiendo mañana cielo nuboso despejado,nubes
 Temperaturas descensos locales,temperatura
 Viento componente oeste flojo intervalos moderado mañana,viento
 nuboso despejado aumentando intervalos nubes altas tarde,nubes
 Temperaturas mínimas ascenso máximas cambios,temperatura
 Viento componente oeste flojo intervalos moderado interior,viento
 cielo nuboso nubosidad abundante mañana interior,nubes
 Temperaturas cambios,temperatura
 Viento oeste suroeste flojo intervalos moderado,viento
 nuboso intervalos nubes altas aumento nubosidad tipo bajo final día litoral,nubes
 Temperaturas mínimas cambios máximas descenso,temperatura
 descartan heladas débiles puntos interior,temperatura
 Viento variable flojo,viento
 nuboso,nubes
 Temperaturas descenso,temperatura
 Viento componente oeste flojo moderado,viento
 nuboso despejado,nubes
 Temperaturas mínimas descenso máximas cambios importantes,temperatura
 Viento oeste flojo intervalos moderado,viento
