provincia,fecha,frase,clase
ALACANT/ALICANTE,2018-11-30,Temperaturas mínimas en ascenso y máximas en descenso en el interior .,temperatura
ALACANT/ALICANTE,2018-11-30,Viento del noroeste moderado .,viento
ALACANT/ALICANTE,2018-12-03,Poco nuboso con algunos intervalos de nubes altas .,nubes
ALACANT/ALICANTE,2018-12-03,Temperaturas en ascenso .,temperatura
ALACANT/ALICANTE,2018-12-03,Viento de componente oeste flojo tendiendo a variable por la tarde .,viento
ALACANT/ALICANTE,2018-11-25,Cielo con intervalos de nubes medias y altas .,nubes
ALACANT/ALICANTE,2018-11-25,No se descarta alguna precipitación débil .,precipitacion
ALACANT/ALICANTE,2018-11-25,Temperaturas con pocos cambios .,temperatura
ALACANT/ALICANTE,2018-11-25,Viento de componente oeste en general moderado .,viento
ALACANT/ALICANTE,2018-12-16,Tendiendo a poco nuboso o despejado por la tarde .,nubes
ALACANT/ALICANTE,2018-12-16,Temperaturas en ascenso .,temperatura
ALACANT/ALICANTE,2018-12-16,Viento del oeste flojo a moderado .,viento
ALACANT/ALICANTE,2019-01-11,Cielo despejado o poco nuboso .,nubes
ALACANT/ALICANTE,2019-01-11,Temperaturas mínimas en descenso y máximas con pocos cambios .,temperatura
ALACANT/ALICANTE,2019-01-11,Heladas generalizadas en el interior y que de manera débil podrán alcanzar las zonas interiores de los litorales .,temperatura
ALACANT/ALICANTE,2019-01-11,Viento variable flojo .,viento
ALACANT/ALICANTE,2018-12-24,Cielo poco nuboso con intervalos de nubes altas .,nubes
ALACANT/ALICANTE,2018-12-24,Temperaturas sin cambios importantes con probables heladas débiles en puntos del interior .,temperatura
ALACANT/ALICANTE,2018-12-24,Viento variable flojo .,viento
ALACANT/ALICANTE,2018-11-20,Predominio de cielo nuboso ;con apertura de claros a partir de la tarde .,nubes
ALACANT/ALICANTE,2018-11-20,No se descartan precipitaciones débiles y ocasionales en el interior .,precipitacion
ALACANT/ALICANTE,2018-11-20,Temperaturas mínimas con pocos cambios y las máximas en ascenso .,temperatura
ALACANT/ALICANTE,2018-11-20,Viento del oeste y suroeste flojo con intervalos de moderado .,viento
ALACANT/ALICANTE,2018-12-13,Cielo entre nuboso y cubierto .,nubes
ALACANT/ALICANTE,2018-12-13,Se esperan precipitaciones en general débiles ;que a partir de la mañana afectarán la mayor parte del territorio .,precipitacion
ALACANT/ALICANTE,2018-12-13,La cota de nieve bajará por la tarde hasta 1000 - 1200 m. Temperaturas mínimas con pocos cambios y las máximas en descenso .,nieve
ALACANT/ALICANTE,2018-12-13,Viento del oeste y suroeste flojo con intervalos de moderado ;aumentando por la tarde a oeste y noroeste moderado con intervalos de fuerte ;más frecuentes en áreas de montaña .,viento
ALACANT/ALICANTE,2019-01-08,Cielo poco nuboso o despejado ;salvo a primeras horas ;cuando habrá intervalos nubosos sin descartar alguna llovizna ocasional .,nubes
ALACANT/ALICANTE,2019-01-08,Temperaturas sin cambios importantes ;o ascensos locales .,temperatura
ALACANT/ALICANTE,2019-01-08,Heladas débiles en puntos del interior .,temperatura
ALACANT/ALICANTE,2019-01-08,Viento variable tendiendo a oeste y noroeste flojo .,viento
ALACANT/ALICANTE,2018-12-21,Poco nuboso o despejado .,nubes
ALACANT/ALICANTE,2018-12-21,Temperaturas mínimas en descenso o sin cambios y máximas en ascenso o sin cambios .,temperatura
ALACANT/ALICANTE,2018-12-21,Alguna helada débil en el interior .,temperatura
ALACANT/ALICANTE,2018-12-21,Viento del oeste y suroeste flojo ;con intervalos de moderado en el litoral .,viento
ALACANT/ALICANTE,2018-11-29,Cielo poco nuboso o despejado con intervalos de nubes altas .,nubes
ALACANT/ALICANTE,2018-11-29,Temperaturas con pocos cambios o en ligero descenso .,temperatura
ALACANT/ALICANTE,2018-11-29,Viento variable flojo con predominio de la componente oeste .,viento
ALACANT/ALICANTE,2018-12-28,Cielo con intervalos de nubes bajas ;sin descartar alguna precipitación débil y dispersa .,nubes-precipitacion
ALACANT/ALICANTE,2018-12-28,Brumas y bancos de niebla matinales .,humedad
ALACANT/ALICANTE,2018-12-28,Temperaturas con pocos cambios .,temperatura
ALACANT/ALICANTE,2018-12-28,Viento variable flojo .,viento
