frase,clase
 nuboso madrugada probables precipitaciones débiles litoral norte descartan resto tendiendo cielo despejado mañana,
 Temperaturas mínimas ascenso máximas descenso interior,
 Viento noroeste moderado,
 nuboso intervalos nubes altas,
 Temperaturas ascenso,
 Viento componente oeste flojo tendiendo variable tarde,
 Cielo intervalos nubes medias altas,
 descarta precipitación débil,
 Temperaturas cambios,
 Viento componente oeste general moderado,
 mañana interior cielo nuboso descartar precipitación débil resto intervalos nubosos,
 Tendiendo nuboso despejado tarde,
 Temperaturas ascenso,
 Viento oeste flojo moderado,
 despejado nuboso,
 Temperaturas mínimas descenso máximas cambios,
 Heladas generalizadas interior manera débil alcanzar zonas interiores litorales,
 Viento variable flojo,
 Cielo nuboso intervalos nubes altas,
 Temperaturas cambios importantes probables heladas débiles puntos interior,
 Viento variable flojo,
 Predominio cielo nuboso apertura claros partir tarde,
 descartan precipitaciones débiles ocasionales interior,
 Temperaturas mínimas cambios máximas ascenso,
 Viento oeste suroeste flojo intervalos moderado,
 Cielo nuboso cubierto,
 esperan precipitaciones general débiles partir mañana afectarán mayor parte territorio,
 cota nieve bajará tarde 1000 1200 m. mínimas cambios máximas descenso,
 Viento oeste suroeste flojo intervalos moderado aumentando tarde oeste noroeste moderado intervalos fuerte frecuentes áreas montaña,
 Cielo nuboso despejado primeras horas intervalos nubosos descartar llovizna ocasional,
 Temperaturas cambios importantes ascensos locales,
 Heladas débiles puntos interior,
 Viento variable tendiendo oeste noroeste flojo,
 nuboso despejado,
 Temperaturas mínimas descenso cambios máximas ascenso cambios,
 helada débil interior,
 Viento oeste suroeste flojo intervalos moderado litoral,
 Cielo nuboso despejado intervalos nubes altas,
 Temperaturas cambios ligero descenso,
 Viento variable flojo predominio componente oeste,
 Cielo intervalos nubes bajas descartar precipitación débil dispersa,
 bancos niebla matinales,
 Temperaturas cambios,
 Viento variable flojo,
 Cielo nuboso despejado,
 Temperaturas mínimas cambios importantes máximas descensos locales interior,
 Viento variable flojo,
 Intervalos nubes altas despejar final,
 Temperaturas cambios,
 Viento variable flojo predominio componente oeste,
 nuboso principio tendiendo mediodía nuboso intervalos nubes altas,
 Temperaturas mínimas ascenso máximas ascenso litoral cambios interior,
 Viento componente oeste flojo moderado,
 Intervalos nubes altas,
 Temperaturas ascenso,
 Viento componente oeste flojo,
 Intervalos nubes altas abundantes tarde,
 Temperaturas descenso máximas,
 Viento variable flojo,
 Nuboso cubierto precipitaciones ocasionales primera mitad día disminuyendo nubosidad tarde nuboso,
 Temperaturas mínimas cambios importantes máximas ascenso litorales,
 Viento variable flojo tendiendo largo mañana componente oeste moderado racha fuerte interior,
 nuboso intervalos nubes medias altas,
 bancos niebla matinales,
 Temperaturas cambios,
 heladas débiles interior,
 Viento variable flojo,
 nuboso intervalo nubes altas,
 Temperaturas ascenso máximas interior,
 Viento oeste flojo,
 Intervalos nubes altas,
 Temperaturas mínimas cambios máximas ascenso,
 Viento componente oeste flojo moderado,
 primeras horas cielo nuboso descartar precipitaciones débiles,
 partir mañana tenderá general nuboso despejado,
 Temperaturas mínimas ascenso máximas descenso,
 Viento oeste noroeste moderado intervalos fuerte rachas fuertes interior,
 Predominio cielo despejado aumentando intervalos nubes bajas tarde,
 Temperaturas descenso especial máximas,
 Heladas débiles interior,
 Viento variable flojo predominio nordeste tarde litoral,
 Cielo nuboso cubierto,
 litoral esperan precipitaciones general débiles moderadas extremo sur,
 bancos niebla matinales interior,
 Temperaturas cambios importantes,
 Viento norte noreste flojo moderado,
 Predominio cielo despejado,
 Temperaturas cambios ligero descenso,
 Viento componente oeste flojo intervalos moderado,
 Intervalos nubes altas,
 Temperaturas mínimas cambios máximas ascenso,
 Viento variable flojo,
 Intervalos nubes medias altas madrugada tendiendo mañana cielo nuboso despejado,
 Temperaturas descensos locales,
 Viento componente oeste flojo intervalos moderado mañana,
 Cielo nuboso despejado aumentando intervalos nubes altas tarde,
 Temperaturas mínimas ascenso máximas cambios,
 Viento componente oeste flojo intervalos moderado interior,
 Predominio cielo nuboso nubosidad abundante mañana interior,
 Temperaturas cambios,
 Viento oeste suroeste flojo intervalos moderado,
 nuboso despejado,
 Temperaturas cambios ascenso mínimas final día,
 Heladas débiles interior,
 Viento componente oeste flojo moderado,
 Cielo nuboso intervalos nubes altas aumento nubosidad tipo bajo final día litoral,
 Temperaturas mínimas cambios máximas descenso,
 descartan heladas débiles puntos interior,
 Viento variable flojo,
 Cielo nuboso,
 Temperaturas descenso,
 Viento componente oeste flojo moderado,
 Cielo nuboso despejado,
 Temperaturas mínimas descenso máximas cambios importantes,
 Viento oeste flojo intervalos moderado,
 Cielo nuboso despejado intervalos nubes altas,
 Temperaturas ascenso acusado áreas montaña máximas subirán general grados,
 Viento componente oeste flojo intervalos moderado interior,
 Cielo despejado,
 Temperaturas ascenso,
 Heladas débiles puntos interior,
 Viento componente oeste principio tendiendo variable flojo,
 Cielo nuboso intervalos nubes altas,
 Temperaturas mínimas descenso máximas cambios,
 Viento componente oeste flojo intervalos moderado zonas interior,
 nuboso intervalos nubes altas,
 Temperaturas mínimas cambios descenso máximas ascenso,
 Viento componente oeste flojo intervalos moderado mañana,
 primeras horas cielo nuboso descartar precipitaciones débiles partir mañana abrirán claros quedar nuboso despejado,
 Temperaturas grandes cambios ascensos máximas litoral,
 Viento oeste noroeste moderado fuerte disminuyendo tarde moderado,
 Cielo despejado,
 Temperaturas ascenso,
 Heladas interior general débiles,
 Viento componente oeste flojo,
 Cielo nuboso intervalos nubes altas primeras horas intervalos nubes bajas,
 descartan bancos niebla matinales interior madrugada primeras horas mañana,
 Temperaturas cambios importantes,
 Viento variable flojo calmas,
 Cielo nuboso despejado intervalos nubes altas,
 descarta banco niebla litoral sur,
 Temperaturas mínimas cambios ligero ascenso máximas descenso interior cambios litoral,
 Viento variable flojo,
 Intervalos nubes medias altas aumentando nuboso sur norte descartar precipitación débil dispersa,
 Temperaturas mínimas cambios máximas descenso,
 Viento oeste flojo tendiendo variable,
 Intervalos nubes altas,
 bancos niebla matinales interior,
 Temperaturas cambios importantes,
 Viento variable flojo tendiendo componente oeste flojo interior suroeste moderado litoral,
 Cielo nuboso intervalos nubes altas,
 Temperaturas cambios importantes,
 Viento variable flojo,
 Cielo intervalos nubosos,
 Temperaturas descenso máximas interior,
 Heladas débiles interior,
 Viento variable flojo intervalos nordeste moderado litoral mañana,
 Cielo nuboso intervalos nubes altas aumentando final día nubosidad oeste cielo nuboso,
 Temperaturas cambios importantes,
