 frase,clase1,clase2
 tarde viento flojo variable,viento,
 viento sur suroeste moderado fuerte debilitándose largo día,viento,
 brisas costas norte noroeste,viento,
 nuboso despejado,nubes,
 Baja probabilidad calima ligera primera mitad día,humedad,
 Temperaturas cambios ligero descenso,temperatura,
 Viento componente costas sureste medianías zonas altas moderado disminuyendo flojo final,viento,
 costa oeste,otros,
 nubosos madrugada descartándose chubasco aislado sureste madrugada tendiendo nuboso precipitaciones,nubes,
 Temperaturas ascenso,temperatura,
 Viento general flojo componente norte madrugada girando componente oeste mañana predominando brisas costas,viento,
 cumbres centrales viento noroeste intervalos fuerte,viento,
 nuboso despejado general intervalos nubosos mañana norte noreste,nubes,
 Temperaturas cambios,temperatura,
 Viento nordeste flojo moderado intenso extremo sudeste mañana girando componente flojo tarde,viento,
 nubes altas predominio cielos despejados primera mitad día,nubes,
 Probabilidad calima,humedad,
 Temperaturas cambios ligeros ascensos mínimas ligeros descensos máximas,temperatura,
 Viento este sureste moderado intervalos fuerte vertientes nordeste área metropolitana suroeste,viento,
 costa noroeste,otros,
 nubosos norte predominando cielos nubosos horas centrales,nubes,
 resto nuboso despejado,nubes,
 Baja probabilidad lloviznas nordeste primeras últimas horas,precipitacion,
 Temperaturas cambios ligero descenso,temperatura,
 Viento nordeste flojo moderado intenso costa sudeste segunda mitad día,viento,
 viento flojo componente norte girando final,viento,
 costa suroeste,otros,
 nubosos aumentando mañana nuboso abriéndose claros últimas horas,nubes,
 Baja probabilidad lluvias débiles dispersas interior horas centrales,precipitacion,
 Temperaturas cambios,temperatura,
 Viento nordeste flojo intervalos moderado segunda mitad día norte sudeste,viento,
 viento flojo noroeste cambiando sudeste final día,viento,
 costas suroeste,otros,
 norte nordeste intervalos nubosos tenderán cielos nubosos partir mediodía,nubes,
 resto zonas nuboso despejado,nubes,
 Baja probabilidad lluvias débiles ocasionales madrugada nordeste probables medianías,precipitacion,
 Temperaturas cambios,temperatura,
 Viento nordeste flojo moderado intervalos fuerte extremos noroeste sureste,viento,
 Predominio brisas costas norte oeste,viento,
 nuboso despejado general intervalos nubes altas horas centrales día,nubes,
 Temperaturas cambios,temperatura,
 Viento componente flojo moderado,viento,
 viento componente sur flojo moderado,viento,
 Predominio brisas zonas costa,viento,
 nubes bajas nordeste,nubes,
 resto nuboso despejado,nubes,
 mínimas cambios ligero descenso máximas ligero descenso,temperatura,
 flojo moderado nordeste costas este sudeste medianías zonas altas,viento,
 brisas vertiente oeste isla,viento,
 cubierto apertura claro sur tarde,otros,
 Precipitaciones inicio ocasionales,precipitacion,
 partir mañana probables frecuentes existe probabilidad fuertes especial vertientes norte persistentes,viento,
 descarta acompañadas tormenta aislada granizo,precipitacion,
 cota nieve descendiendo 2700 metros 2000 metros final día,nieve,
 Temperaturas ligero moderado descenso especial máximas,temperatura,
 Viento componente norte flojo aumentando moderado tarde,viento,
 cumbres centrales componente oeste intervalos fuerte,viento,
 norte intervalos nubosos,nubes,
 resto zonas nuboso despejado,nubes,
 Baja probabilidad lluvia débil ocasional norte final,precipitacion,
 Temperaturas mínimas cambios máximas ligero descenso acusado medianías norte,temperatura,
 Viento nordeste flojo moderado intervalos fuerte sureste tarde,viento,
 costas suroeste,otros,
 cumbres centrales viento componente norte moderado,viento,
 nubes altas compactas segunda mitad día,nubes,
 Temperaturas mínimas ascenso máximas descenso,temperatura,
 Viento sureste intervalos fuerte cumbres vertientes nordeste incluida área metropolitana vertientes suroeste medianías nordeste rachas llegar costas,viento,
 Predominio brisas costas sureste noroeste,viento,
 nuboso despejado general intervalos nubes altas tarde,nubes,
 Intervalos nubosos zonas bajas primeras últimas horas,nubes,
 Temperaturas cambios ligero descenso,temperatura,
 Viento componente flojo moderado intenso extremo sur nordeste cumbres centrales viento componente norte,viento,
 costas noroeste oeste,otros,
 Probabilidad calima ligera primera mitad día,humedad,
 Temperaturas cambios,temperatura,
 Viento variable flojo tendiendo nordeste flojo tarde,viento,
 costa oeste,otros,
 general intervalos nubes altas,nubes,
 Probabilidad entrada calima leve tarde,humedad,
 Temperaturas mínimas ascenso máximas cambios costas descenso cumbres,temperatura,
 Viento este sureste flojo moderado intenso vertientes oeste nordeste cumbres centrales predominio brisas costas norte,viento,
 cubierto precipitaciones débiles madrugada tendiendo nuboso despejado,precipitacion,
 Cota nieve metros,nieve,
 Temperaturas ascenso descenso sierra,temperatura,
 Heladas débiles,temperatura,
 Vientos noroeste,viento,
 nuboso intervalos nubes altas descartar brumas nubes bajas,nubes,
 Temperaturas ligero ascenso cambios,temperatura,
 Vientos suroeste sierra flojos oeste calma valle,viento,
 precipitaciones débiles generalizadas tendiendo horas centrales día claros remitir precipitaciones cubrirse nuevo final probables precipitaciones débiles oeste,precipitacion,
 Cota nieve 1800 bajando metros,nieve,
 Temperaturas cambios ligero descenso,temperatura,
 Viento suroeste intervalos fuerte madrugada sureste tendiendo variables flojos,viento,
 cubierto precipitaciones débiles valle intensas montaña final mañana abrirán claros harán precipitaciones ocasionales dispersas,precipitacion,
 Cota nieve bajando 1200 metros,nieve,
 Temperaturas grandes cambios mínimas darán final día,temperatura,
 Vientos suroeste oeste rachas sureste oeste valle,viento,
 nubes altas,nubes,
 Probabilidad brumas nieblas primera mitad día,humedad,
 Temperaturas mínimas cambios máximas ascenso cambios ligero descenso resto,temperatura,
 Vientos flojos variables,viento,
 cubierto precipitaciones débiles generalizadas intensas sierra persistentes,precipitacion,
 Tienden disminuir valle tarde,otros,
 Cota nieve metros bajando 1500,nieve,
 Temperaturas mínimas cambios máximas descenso,temperatura,
 Vientos suroeste sierra sureste valle flojos general,viento,
 cubierto precipitaciones tendiendo segunda mitad día hacerse ocasionales dispersas valle,precipitacion,
 Cota nieve metros bajando 1000 segunda mitad día,nieve,
 Temperaturas mínimas ligero ascenso máximas descenso,temperatura,
 Heladas débiles tarde noche,temperatura,
 flojos principio suroeste sierra sureste valle girando oeste noroeste aumentando rachas fuertes zonas altas,viento,
 nubosos abundantes descartan lloviznas dispersas,nubes,precipitacion
 Probabilidad brumas bancos niebla,humedad,
 Temperaturas cambios descenso ribera media baja ascenso resto,temperatura,
 Vientos suroeste sierra sureste variables valle flojos general,viento,
 nubes altas nubes bajas valle dan brumas bancos niebla matinales tendiendo tarde nuboso cubierto precipitaciones débiles,nubes,precipitacion
 Cota nieve bajando metros final día,nieve,
 Temperaturas mínimas cambios ligero descenso máximas cambios sierra descenso resto,temperatura,
 Vientos suroeste sureste flojos valle,viento,
